I-16-2,,I-16-3,,I-16-1,,PES0.45-1(5),,PES0.45-2(5),,PES0.45-3(5),,PVDF0.2-1(3),,PVDF0.2-2(3),,PVDF0.2-3(3),,PVDF0.45-1(4),,PVDF0.45-2(4),,PVDF0.45-3(4),,PVDF5-1(6),,PVDF5-2(6),,PVDF5-3(6),,PW-1,,PW-2,,PW-3,,Sartorius_CelluloseNitrate0.45-1(2),,Sartorius_CelluloseNitrate0.45-2(2),,Sartorius_CelluloseNitrate0.45-3(2),,Sartorius_CelluloseNitrate5-1(1),,Sartorius_CelluloseNitrate5-2(1),,Sartorius_CelluloseNitrate5-3(1),
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-0.810121,-443.341,-0.810121,-386.645,-0.810121,-341.298,-0.810121,-664.69,-0.810121,-695.208,-0.810121,-850.037,-0.810121,-434.186,-0.810121,-887.278,-0.810121,-780.609,-0.810121,-562.551,-0.810121,-715.616,-0.810121,-634.744,-0.810121,-239.016,-0.810121,-180.412,-0.810121,-330.76,-0.810121,-443.866,-0.810121,-287.462,-0.810121,-356.509,-0.810121,-646.188,-0.810121,-869.111,-0.810121,-877.598,-0.810121,-279.833,-0.810121,-145.317,-0.810121,-320.508
-0.80012,-405.766,-0.80012,-351.645,-0.80012,-318.696,-0.80012,-618.627,-0.80012,-647.953,-0.80012,-798.634,-0.80012,-407.53,-0.80012,-827.149,-0.80012,-728.109,-0.80012,-516.345,-0.80012,-667.36,-0.80012,-591.59,-0.80012,-209.929,-0.80012,-159.002,-0.80012,-300.957,-0.80012,-410.439,-0.80012,-267.054,-0.80012,-323.082,-0.80012,-594.833,-0.80012,-813.416,-0.80012,-819.758,-0.80012,-247.122,-0.80012,-122.858,-0.80012,-284.601
-0.79012,-369.717,-0.79012,-318.076,-0.79012,-297.714,-0.79012,-574.901,-0.79012,-599.363,-0.79012,-748.518,-0.79012,-381.829,-0.79012,-769.499,-0.79012,-677.183,-0.79012,-473.144,-0.79012,-620.582,-0.79012,-550.248,-0.79012,-183.702,-0.79012,-139.022,-0.79012,-272.633,-0.79012,-378.014,-0.79012,-247.36,-0.79012,-291.325,-0.79012,-546.243,-0.79012,-759.771,-0.79012,-764.826,-0.79012,-216.986,-0.79012,-102.671,-0.79012,-251.747
-0.78012,-336.052,-0.78012,-286.366,-0.78012,-277.21,-0.78012,-533.988,-0.78012,-553.157,-0.78012,-699.404,-0.78012,-357.939,-0.78012,-714.09,-0.78012,-629.404,-0.78012,-432.421,-0.78012,-575.569,-0.78012,-510.194,-0.78012,-158.906,-0.78012,-119.856,-0.78012,-245.977,-0.78012,-349.022,-0.78012,-228.621,-0.78012,-261.284,-0.78012,-500.657,-0.78012,-707.51,-0.78012,-711.802,-0.78012,-189.281,-0.78012,-84.6795,-0.78012,-220.896
-0.77012,-303.675,-0.77012,-256.897,-0.77012,-257.803,-0.77012,-493.695,-0.77012,-513.675,-0.77012,-652.292,-0.77012,-334.145,-0.77012,-660.493,-0.77012,-582.864,-0.77012,-393.893,-0.77012,-532.653,-0.77012,-471.475,-0.77012,-135.112,-0.77012,-102.551,-0.77012,-220.514,-0.77012,-320.174,-0.77012,-210.548,-0.77012,-232.101,-0.77012,-456.883,-0.77012,-657.68,-0.77012,-660.064,-0.77012,-164.533,-0.77012,-69.1631,-0.77012,-192.238
-0.76012,-273.825,-0.76012,-228.907,-0.76012,-239.206,-0.76012,-455.405,-0.76012,-470.139,-0.76012,-606.706,-0.76012,-311.399,-0.76012,-610.044,-0.76012,-538.661,-0.76012,-357.319,-0.76012,-491.74,-0.76012,-435.235,-0.76012,-115.254,-0.76012,-86.4485,-0.76012,-196.911,-0.76012,-292.183,-0.76012,-193.907,-0.76012,-204.969,-0.76012,-416.209,-0.76012,-609.853,-0.76012,-610.998,-0.76012,-141.836,-0.76012,-55.0105,-0.76012,-166.679
-0.750198,-245.024,-0.750198,-202.299,-0.750198,-220.991,-0.750198,-418.545,-0.750198,-428.416,-0.750198,-562.36,-0.750198,-289.942,-0.750198,-560.786,-0.750198,-495.507,-0.750198,-323.512,-0.750198,-452.544,-0.750198,-399.281,-0.750198,-96.7769,-0.750198,-71.4472,-0.750198,-174.022,-0.750198,-268.055,-0.750198,-177.455,-0.750198,-181.032,-0.750198,-377.537,-0.750198,-563.505,-0.750198,-562.932,-0.750198,-121.191,-0.750198,-42.1216,-0.750198,-142.169
-0.740198,-218.13,-0.740198,-177.455,-0.740198,-204.206,-0.740198,-383.45,-0.740198,-392.224,-0.740198,-519.874,-0.740198,-268.532,-0.740198,-513.722,-0.740198,-454.261,-0.740198,-290.752,-0.740198,-414.921,-0.740198,-365.283,-0.740198,-79.8634,-0.740198,-57.5759,-0.740198,-152.708,-0.740198,-243.641,-0.740198,-162.08,-0.740198,-156.999,-0.740198,-341.155,-0.740198,-519.492,-0.740198,-517.585,-0.740198,-102.547,-0.740198,-30.501,-0.740198,-120.187
-0.730198,-193.43,-0.730198,-153.757,-0.730198,-187.469,-0.730198,-350.501,-0.730198,-358.464,-0.730198,-478.818,-0.730198,-248.409,-0.730198,-469.138,-0.730198,-415.16,-0.730198,-260.044,-0.730198,-379.206,-0.730198,-332.715,-0.730198,-64.4996,-0.730198,-44.4295,-0.730198,-132.826,-0.730198,-220.324,-0.730198,-147.575,-0.730198,-135.065,-0.730198,-307.156,-0.730198,-477.149,-0.730198,-474.097,-0.730198,-85.6236,-0.730198,-19.5862,-0.730198,-99.7523
-0.720198,-170.208,-0.720198,-132.251,-0.720198,-171.876,-0.720198,-318.982,-0.720198,-324.513,-0.720198,-439.908,-0.720198,-230.051,-0.720198,-426.461,-0.720198,-377.823,-0.720198,-231.386,-0.720198,-345.446,-0.720198,-301.72,-0.720198,-50.4376,-0.720198,-32.8852,-0.720198,-114.267,-0.720198,-199.2,-0.720198,-133.837,-0.720198,-113.967,-0.720198,-275.017,-0.720198,-437.667,-0.720198,-432.612,-0.720198,-70.8941,-0.720198,-10.283,-0.720198,-81.1699
