I-16-2,,I-16-3,,I-16-1,,PES0.45-1(5),,PES0.45-2(5),,PES0.45-3(5),,PVDF0.2-1(3),,PVDF0.2-2(3),,PVDF0.2-3(3),,PVDF0.45-1(4),,PVDF0.45-2(4),,PVDF0.45-3(4),,PVDF5-1(6),,PVDF5-2(6),,PVDF5-3(6),,PW-1,,PW-2,,PW-3,,Sartorius_CelluloseNitrate0.45-1(2),,Sartorius_CelluloseNitrate0.45-2(2),,Sartorius_CelluloseNitrate0.45-3(2),,Sartorius_CelluloseNitrate5-1(1),,Sartorius_CelluloseNitrate5-2(1),,Sartorius_CelluloseNitrate5-3(1),
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-0.0805082,150.531,-0.0805082,185.521,-0.0805082,84.0405,-0.0805082,130.747,-0.0805082,139.173,-0.0805082,172.17,-0.0805082,96.1331,-0.0805082,144.084,-0.0805082,185.378,-0.0805082,160.492,-0.0805082,134.299,-0.0805082,167.936,-0.0805082,173.448,-0.0805082,222.591,-0.0805082,192.827,-0.0805082,138.72,-0.0805082,89.6147,-0.0805082,181.034,-0.0805082,156.763,-0.0805082,125.697,-0.0805082,163.501,-0.0805082,154.141,-0.0805082,226.258,-0.0805082,216.454
-0.070508,153.058,-0.070508,187.224,-0.070508,85.2755,-0.070508,133.489,-0.070508,141.624,-0.070508,174.583,-0.070508,98.2074,-0.070508,146.711,-0.070508,188.225,-0.070508,162.981,-0.070508,136.636,-0.070508,170.778,-0.070508,176.333,-0.070508,224.355,-0.070508,195.044,-0.070508,141.614,-0.070508,91.0405,-0.070508,181.153,-0.070508,159.72,-0.070508,127.624,-0.070508,166.147,-0.070508,155.843,-0.070508,227.693,-0.070508,219.644
-0.0605078,155.147,-0.0605078,189.617,-0.0605078,86.7871,-0.0605078,135.863,-0.0605078,144.475,-0.0605078,177.553,-0.0605078,100.177,-0.0605078,148.991,-0.0605078,190.957,-0.0605078,165.861,-0.0605078,139.363,-0.0605078,173.109,-0.0605078,178.054,-0.0605078,226.353,-0.0605078,197.147,-0.0605078,145.19,-0.0605078,92.1801,-0.0605078,183.724,-0.0605078,162.647,-0.0605078,130.222,-0.0605078,168.489,-0.0605078,158.079,-0.0605078,229.958,-0.0605078,222.486
-0.0505075,157.936,-0.0505075,191.792,-0.0505075,88.456,-0.0505075,138.343,-0.0505075,147.455,-0.0505075,180.319,-0.0505075,102.041,-0.0505075,151.847,-0.0505075,194,-0.0505075,168.403,-0.0505075,141.519,-0.0505075,175.87,-0.0505075,180.424,-0.0505075,228.451,-0.0505075,199.598,-0.0505075,148.49,-0.0505075,93.8539,-0.0505075,186.356,-0.0505075,165.527,-0.0505075,132.592,-0.0505075,171.221,-0.0505075,160.082,-0.0505075,231.908,-0.0505075,225.976
-0.0405865,160.635,-0.0405865,194.109,-0.0405865,89.5003,-0.0405865,140.932,-0.0405865,149.763,-0.0405865,183.104,-0.0405865,103.953,-0.0405865,154.384,-0.0405865,197.037,-0.0405865,171.073,-0.0405865,144.218,-0.0405865,178.412,-0.0405865,182.627,-0.0405865,230.449,-0.0405865,202.034,-0.0405865,152.281,-0.0405865,95.2319,-0.0405865,188.025,-0.0405865,168.613,-0.0405865,134.986,-0.0405865,173.677,-0.0405865,162.337,-0.0405865,234.049,-0.0405865,229.095
-0.0305862,162.986,-0.0305862,196.579,-0.0305862,91.1072,-0.0305862,143.016,-0.0305862,152.367,-0.0305862,186.103,-0.0305862,105.503,-0.0305862,156.963,-0.0305862,199.683,-0.0305862,173.948,-0.0305862,146.735,-0.0305862,180.853,-0.0305862,184.372,-0.0305862,232.652,-0.0305862,204.242,-0.0305862,156.062,-0.0305862,96.5957,-0.0305862,189.775,-0.0305862,171.178,-0.0305862,137.57,-0.0305862,176.318,-0.0305862,164.703,-0.0305862,236.352,-0.0305862,232.48
-0.020586,165.628,-0.020586,198.415,-0.020586,92.3995,-0.020586,145.467,-0.020586,154.312,-0.020586,188.43,-0.020586,107.553,-0.020586,159.567,-0.020586,202.487,-0.020586,176.242,-0.020586,149.1,-0.020586,183.256,-0.020586,187.286,-0.020586,233.982,-0.020586,206.54,-0.020586,159.295,-0.020586,98.1025,-0.020586,193.194,-0.020586,174.158,-0.020586,139.406,-0.020586,178.85,-0.020586,166.491,-0.020586,237.936,-0.020586,235.914
-0.0105858,167.907,-0.0105858,200.928,-0.0105858,93.9492,-0.0105858,147.842,-0.0105858,156.949,-0.0105858,191.243,-0.0105858,109.246,-0.0105858,161.808,-0.0105858,205.315,-0.0105858,178.855,-0.0105858,151.818,-0.0105858,185.23,-0.0105858,188.807,-0.0105858,236.448,-0.0105858,208.753,-0.0105858,163.41,-0.0105858,99.1372,-0.0105858,196.136,-0.0105858,177.072,-0.0105858,141.962,-0.0105858,181.163,-0.0105858,168.851,-0.0105858,240.396,-0.0105858,238.985
-0.000585556,170.954,-0.000585556,203.212,-0.000585556,95.6658,-0.000585556,150.297,-0.000585556,159.796,-0.000585556,193.766,-0.000585556,111.101,-0.000585556,164.683,-0.000585556,208.338,-0.000585556,181.225,-0.000585556,154.026,-0.000585556,187.648,-0.000585556,191.639,-0.000585556,238.26,-0.000585556,211.333,-0.000585556,167.316,-0.000585556,100.663,-0.000585556,197.466,-0.000585556,180.1,-0.000585556,144.313,-0.000585556,183.9,-0.000585556,171.035,-0.000585556,242.637,-0.000585556,242.642
0.00941372,173.996,0.00941372,205.754,0.00941372,96.8389,0.00941372,152.062,0.00941372,162.767,0.00941372,196.732,0.00941372,113.075,0.00941372,167.378,0.00941372,211.6,0.00941372,184.138,0.00941372,156.859,0.00941372,189.956,0.00941372,193.928,0.00941372,240.615,0.00941372,213.974,0.00941372,171.354,0.00941372,102.098,0.00941372,200.685,0.00941372,183.275,0.00941372,146.797,0.00941372,186.618,0.00941372,173.462,0.00941372,245.112,0.00941372,246.07
0.0194139,176.662,0.0194139,208.462,0.0194139,98.5364,0.0194139,154.369,0.0194139,165.833,0.0194139,199.722,0.0194139,114.62,0.0194139,170.177,0.0194139,214.394,0.0194139,186.856,0.0194139,159.481,0.0194139,192.25,0.0194139,196.603,0.0194139,243.047,0.0194139,216.33,0.0194139,175.57,0.0194139,103.567,0.0194139,202.997,0.0194139,185.998,0.0194139,149.458,0.0194139,189.35,0.0194139,176.066,0.0194139,247.668,0.0194139,249.737
0.0294142,179.671,0.0294142,210.694,0.0294142,99.9478,0.0294142,157.178,0.0294142,167.707,0.0294142,202.254,0.0294142,116.284,0.0294142,172.928,0.0294142,217.355,0.0294142,189.246,0.0294142,162.032,0.0294142,194.505,0.0294142,199.345,0.0294142,244.797,0.0294142,218.709,0.0294142,178.126,0.0294142,104.974,0.0294142,206.016,0.0294142,189.16,0.0294142,151.466,0.0294142,192.064,0.0294142,178.145,0.0294142,249.446,0.0294142,253.323
0.0394144,182.303,0.0394144,213.383,0.0394144,101.579,0.0394144,159.51,0.0394144,171.04,0.0394144,205.153,0.0394144,118.154,0.0394144,175.369,0.0394144,220.278,0.0394144,191.844,0.0394144,164.884,0.0394144,196.36,0.0394144,201.553,0.0394144,246.986,0.0394144,221.022,0.0394144,183.953,0.0394144,105.932,0.0394144,208.019,0.0394144,192.259,0.0394144,154.16,0.0394144,194.643,0.0394144,180.691,0.0394144,252.102,0.0394144,256.594
0.0494146,185.793,0.0494146,216.096,0.0494146,103.462,0.0494146,162.252,0.0494146,173.777,0.0494146,207.942,0.0494146,120.004,0.0494146,178.564,0.0494146,223.63,0.0494146,194.486,0.0494146,167.387,0.0494146,198.921,0.0494146,204.504,0.0494146,249.141,0.0494146,223.874,0.0494146,188.54,0.0494146,107.677,0.0494146,209.883,0.0494146,195.607,0.0494146,156.792,0.0494146,197.767,0.0494146,183.194,0.0494146,254.649,0.0494146,260.571
0.0594139,189.117,0.0594139,218.972,0.0594139,104.769,0.0594139,164.936,0.0594139,176.199,0.0594139,211.118,0.0594139,121.654,0.0594139,181.502,0.0594139,226.873,0.0594139,197.299,0.0594139,170.353,0.0594139,201.205,0.0594139,206.974,0.0594139,251.406,0.0594139,226.544,0.0594139,191.94,0.0594139,109.117,0.0594139,213.831,0.0594139,199.092,0.0594139,159.515,0.0594139,200.609,0.0594139,185.888,0.0594139,257.271,0.0594139,264.19
0.0694141,192.188,0.0694141,222.276,0.0694141,106.647,0.0694141,167.168,0.0694141,179.537,0.0694141,214.222,0.0694141,123.108,0.0694141,184.544,0.0694141,229.863,0.0694141,200.122,0.0694141,173.248,0.0694141,203.622,0.0694141,210.098,0.0694141,253.933,0.0694141,229.057,0.0694141,198.081,0.0694141,110.548,0.0694141,216.678,0.0694141,202.125,0.0694141,162.466,0.0694141,203.684,0.0694141,188.788,0.0694141,260.046,0.0694141,267.991
0.0794144,195.54,0.0794144,224.98,0.0794144,108.259,0.0794144,169.872,0.0794144,182.522,0.0794144,217.031,0.0794144,124.929,0.0794144,187.648,0.0794144,233.029,0.0794144,202.554,0.0794144,176.051,0.0794144,206.011,0.0794144,212.94,0.0794144,255.76,0.0794144,231.727,0.0794144,201.953,0.0794144,112.079,0.0794144,219.091,0.0794144,205.663,0.0794144,164.765,0.0794144,206.779,0.0794144,191.239,0.0794144,262.311,0.0794144,271.834
0.0894146,198.634,0.0894146,227.898,0.0894146,110.186,0.0894146,172.365,0.0894146,185.95,0.0894146,220.416,0.0894146,126.703,0.0894146,190.6,0.0894146,236.338,0.0894146,205.558,0.0894146,179.246,0.0894146,208.143,0.0894146,215.815,0.0894146,258.387,0.0894146,234.226,0.0894146,207.647,0.0894146,113.333,0.0894146,222.944,0.0894146,209.306,0.0894146,167.845,0.0894146,209.926,0.0894146,194.271,0.0894146,265.368,0.0894146,275.506
0.0993366,202.416,0.0993366,230.921,0.0993366,112.312,0.0993366,175.451,0.0993366,189.474,0.0993366,223.478,0.0993366,128.205,0.0993366,194.081,0.0993366,239.733,0.0993366,208.281,0.0993366,181.997,0.0993366,210.794,0.0993366,219.425,0.0993366,260.881,0.0993366,237.168,0.0993366,213.164,0.0993366,115.097,0.0993366,225.542,0.0993366,213.073,0.0993366,170.82,0.0993366,213.431,0.0993366,197.18,0.0993366,268.262,0.0993366,279.792
0.109337,206.269,0.109337,234.607,0.109337,113.914,0.109337,178.111,0.109337,192.879,0.109337,226.901,0.109337,130.179,0.109337,197.5,0.109337,243.319,0.109337,211.247,0.109337,185.397,0.109337,213.369,0.109337,222.715,0.109337,263.594,0.109337,240.024,0.109337,218.166,0.109337,116.609,0.109337,227.974,0.109337,217.179,0.109337,173.944,0.109337,216.707,0.109337,200.404,0.109337,271.467,0.109337,283.884
0.119336,209.754,0.119336,238.322,0.119336,116.137,0.119336,180.324,0.119336,196.517,0.119336,230.416,0.119336,131.743,0.119336,201.023,0.119336,246.523,0.119336,214.628,0.119336,188.664,0.119336,215.991,0.119336,226.096,0.119336,266.422,0.119336,242.737,0.119336,224.541,0.119336,118.335,0.119336,231.679,0.119336,220.836,0.119336,177.272,0.119336,220.312,0.119336,203.794,0.119336,274.9,0.119336,288.323
0.129336,213.76,0.129336,241.259,0.129336,118.101,0.129336,183.542,0.129336,199.531,0.129336,233.42,0.129336,133.827,0.129336,204.666,0.129336,249.985,0.129336,217.393,0.129336,191.854,0.129336,218.695,0.129336,230.773,0.129336,268.94,0.129336,245.651,0.129336,229.901,0.129336,120.099,0.129336,234.908,0.129336,225.156,0.129336,180.095,0.129336,223.974,0.129336,206.755,0.129336,277.613,0.129336,292.829
0.139337,217.203,0.139337,244.783,0.139337,120.352,0.139337,186.184,0.139337,202.606,0.139337,237.139,0.139337,135.401,0.139337,208.009,0.139337,253.337,0.139337,220.641,0.139337,195.354,0.139337,220.984,0.139337,233.348,0.139337,271.929,0.139337,248.364,0.139337,235.437,0.139337,121.42,0.139337,238.317,0.139337,229.519,0.139337,183.59,0.139337,227.521,0.139337,210.088,0.139337,280.961,0.139337,297.059
0.149337,221.513,0.149337,248.416,0.149337,122.869,0.149337,189.217,0.149337,206.536,0.149337,240.434,0.149337,137.28,0.149337,212.029,0.149337,257.09,0.149337,223.74,0.149337,198.525,0.149337,223.95,0.149337,237.597,0.149337,274.957,0.149337,251.587,0.149337,241.154,0.149337,123.389,0.149337,240.549,0.149337,234.149,0.149337,187.042,0.149337,231.465,0.149337,213.192,0.149337,283.936,0.149337,301.856
0.159337,225.862,0.159337,252.212,0.159337,124.853,0.159337,192.45,0.159337,209.645,0.159337,243.987,0.159337,139.368,0.159337,215.92,0.159337,260.976,0.159337,227.474,0.159337,202.277,0.159337,226.763,0.159337,240.558,0.159337,278.123,0.159337,254.768,0.159337,248.626,0.159337,125.306,0.159337,245.327,0.159337,239.099,0.159337,190.614,0.159337,235.155,0.159337,216.344,0.159337,286.645,0.159337,306.29
0.169336,230.01,0.169336,256.294,0.169336,127.49,0.169336,195.492,0.169336,212.973,0.169336,248.364,0.169336,140.784,0.169336,220.021,0.169336,264.519,0.169336,231.303,0.169336,205.935,0.169336,229.767,0.169336,244.363,0.169336,281.828,0.169336,257.743,0.169336,254.792,0.169336,127.19,0.169336,248.14,0.169336,243.834,0.169336,194.51,0.169336,239.256,0.169336,219.606,0.169336,289.386,0.169336,310.825
0.179337,234.397,0.179337,259.636,0.179337,129.869,0.179337,198.692,0.179337,216.778,0.179337,251.454,0.179337,142.844,0.179337,223.897,0.179337,268.186,0.179337,234.917,0.179337,209.502,0.179337,232.719,0.179337,248.24,0.179337,284.484,0.179337,260.824,0.179337,261.463,0.179337,129.04,0.179337,251.506,0.179337,249.16,0.179337,197.79,0.179337,243.481,0.179337,222.224,0.179337,291.036,0.179337,315.107
0.189337,238.656,0.189337,263.747,0.189337,132.597,0.189337,202.149,0.189337,221.589,0.189337,255.788,0.189337,145.004,0.189337,227.679,0.189337,271.996,0.189337,239.051,0.189337,213.507,0.189337,235.399,0.189337,250.72,0.189337,287.555,0.189337,263.861,0.189337,269.14,0.189337,130.737,0.189337,255.292,0.189337,254.696,0.189337,201.848,0.189337,247.682,0.189337,225.318,0.189337,293.32,0.189337,318.674
0.199337,243.691,0.199337,267.576,0.199337,135.525,0.199337,205.739,0.199337,224.689,0.199337,259.66,0.199337,147.04,0.199337,232.056,0.199337,275.992,0.199337,243.371,0.199337,217.026,0.199337,238.536,0.199337,253.633,0.199337,290.369,0.199337,267.304,0.199337,276.064,0.199337,133.017,0.199337,258.215,0.199337,260.48,0.199337,205.811,0.199337,252.064,0.199337,228.227,0.199337,295.323,0.199337,322.46
0.209337,248.707,0.209337,271.991,0.209337,138,0.209337,209.592,0.209337,228.928,0.209337,263.69,0.209337,149.019,0.209337,236.333,0.209337,280.088,0.209337,247.954,0.209337,221.136,0.209337,241.65,0.209337,256.799,0.209337,292.934,0.209337,270.78,0.209337,283.941,0.209337,135.053,0.209337,262.903,0.209337,266.689,0.209337,209.893,0.209337,256.222,0.209337,231.479,0.209337,297.478,0.209337,325.927
0.219337,253.428,0.219337,276.259,0.219337,141.113,0.219337,213.354,0.219337,234.369,0.219337,267.814,0.219337,150.803,0.219337,240.692,0.219337,283.946,0.219337,253.314,0.219337,225.271,0.219337,244.902,0.219337,261.091,0.219337,295.624,0.219337,274.113,0.219337,291.084,0.219337,137.189,0.219337,266.708,0.219337,272.673,0.219337,214.365,0.219337,260.857,0.219337,235.012,0.219337,300.072,0.219337,329.493
0.229337,258.273,0.229337,279.583,0.229337,143.97,0.229337,217.493,0.229337,238.937,0.229337,271.824,0.229337,153.068,0.229337,245.093,0.229337,288.008,0.229337,258.01,0.229337,229.367,0.229337,248.145,0.229337,263.103,0.229337,297.087,0.229337,277.68,0.229337,299.114,0.229337,139.568,0.229337,270.06,0.229337,279.22,0.229337,218.18,0.229337,265.521,0.229337,238.155,0.229337,302.027,0.229337,333.132
0.239337,262.745,0.239337,283.125,0.239337,147.179,0.239337,219.916,0.239337,243.696,0.239337,276.126,0.239337,155.151,0.239337,249.189,0.239337,291.966,0.239337,263.146,0.239337,233.811,0.239337,251.006,0.239337,267.633,0.239337,299.638,0.239337,281.037,0.239337,307.487,0.239337,141.504,0.239337,273.36,0.239337,285.967,0.239337,222.743,0.239337,270.198,0.239337,241.879,0.239337,304.869,0.239337,336.474
0.249259,267.676,0.249259,286.425,0.249259,150.674,0.249259,226.191,0.249259,247.448,0.249259,280.517,0.249259,157.259,0.249259,254.129,0.249259,296.439,0.249259,267.557,0.249259,237.897,0.249259,254.634,0.249259,271.72,0.249259,301.574,0.249259,284.999,0.249259,314.239,0.249259,144.084,0.249259,276.698,0.249259,293.072,0.249259,227.24,0.249259,275.11,0.249259,245.718,0.249259,307.893,0.249259,340.599
0.259259,272.23,0.259259,289.801,0.259259,153.626,0.259259,228.828,0.259259,252.083,0.259259,284.99,0.259259,159.696,0.259259,258.769,0.259259,300.873,0.259259,272.015,0.259259,242.628,0.259259,258.025,0.259259,276.488,0.259259,304.14,0.259259,288.886,0.259259,325.116,0.259259,146.497,0.259259,281.194,0.259259,300.277,0.259259,231.884,0.259259,279.721,0.259259,249.961,0.259259,311.04,0.259259,344.433
0.269258,276.383,0.269258,293.111,0.269258,157.231,0.269258,233.348,0.269258,257.085,0.269258,289.491,0.269258,161.565,0.269258,263.313,0.269258,305.008,0.269258,276.369,0.269258,247.267,0.269258,261.549,0.269258,281.533,0.269258,306.963,0.269258,292.691,0.269258,333.389,0.269258,149.053,0.269258,284.518,0.269258,307.134,0.269258,236.705,0.269258,284.818,0.269258,254.563,0.269258,314.535,0.269258,348.681
0.279259,280.646,0.279259,296.248,0.279259,160.597,0.279259,237.788,0.279259,261.21,0.279259,293.535,0.279259,164.035,0.279259,267.786,0.279259,309.261,0.279259,279.411,0.279259,251.764,0.279259,265.168,0.279259,286.263,0.279259,309.123,0.279259,296.816,0.279259,341.41,0.279259,151.499,0.279259,287.412,0.279259,314.63,0.279259,240.935,0.279259,290.016,0.279259,258.926,0.279259,317.63,0.279259,353.021
0.289259,284.513,0.289259,300.029,0.289259,164.259,0.289259,241.598,0.289259,267.113,0.289259,297.936,0.289259,166.472,0.289259,271.867,0.289259,313.634,0.289259,282.663,0.289259,256.442,0.289259,268.305,0.289259,291.713,0.289259,312.208,0.289259,300.816,0.289259,352.286,0.289259,153.506,0.289259,292.1,0.289259,322.231,0.289259,245.87,0.289259,294.913,0.289259,264.104,0.289259,321.578,0.289259,357.098
0.299259,289.248,0.299259,303.391,0.299259,168.179,0.299259,245.985,0.299259,271.453,0.299259,302.151,0.299259,168.756,0.299259,276.264,0.299259,318.159,0.299259,286.096,0.299259,260.328,0.299259,272.111,0.299259,297.55,0.299259,315.193,0.299259,305.361,0.299259,360.226,0.299259,156.239,0.299259,295.733,0.299259,330.108,0.299259,250.619,0.299259,299.863,0.299259,269.383,0.299259,325.426,0.299259,362.014
0.309259,293.888,0.309259,307.044,0.309259,171.555,0.309259,249.923,0.309259,275.739,0.309259,306.915,0.309259,171.335,0.309259,280.35,0.309259,322.827,0.309259,289.797,0.309259,264.701,0.309259,275.758,0.309259,303.92,0.309259,318.688,0.309259,310.048,0.309259,369.228,0.309259,158.518,0.309259,300.382,0.309259,338.348,0.309259,255.474,0.309259,304.655,0.309259,275.267,0.309259,329.703,0.309259,366.835
0.319259,298.341,0.319259,311.435,0.319259,175.541,0.319259,253.871,0.319259,281.252,0.319259,311.459,0.319259,173.543,0.319259,284.418,0.319259,327.171,0.319259,293.926,0.319259,268.825,0.319259,279.502,0.319259,310.239,0.319259,322.231,0.319259,314.64,0.319259,381.755,0.319259,160.745,0.319259,304.14,0.319259,346.335,0.319259,260.604,0.319259,310.496,0.319259,281.719,0.319259,334.443,0.319259,372.266
0.329259,303.224,0.329259,315.603,0.329259,179.284,0.329259,258.187,0.329259,285.491,0.329259,315.222,0.329259,176.118,0.329259,288.457,0.329259,331.692,0.329259,297.583,0.329259,272.874,0.329259,283.335,0.329259,317.234,0.329259,325.474,0.329259,319.623,0.329259,390.581,0.329259,163.067,0.329259,309.485,0.329259,355.071,0.329259,265.154,0.329259,315.965,0.329259,288.075,0.329259,338.591,0.329259,377.826
0.339259,307.807,0.339259,320.443,0.339259,183.385,0.339259,262.736,0.339259,289.458,0.339259,319.957,0.339259,178.569,0.339259,292.329,0.339259,336.374,0.339259,302.356,0.339259,277.313,0.339259,286.85,0.339259,324.186,0.339259,329.756,0.339259,324.525,0.339259,396.375,0.339259,165.294,0.339259,314.673,0.339259,364.217,0.339259,270.551,0.339259,321.282,0.339259,295.399,0.339259,343.779,0.339259,383.429
0.349259,313.457,0.349259,325.259,0.349259,187.705,0.349259,267.914,0.349259,294.617,0.349259,323.657,0.349259,181.544,0.349259,296.868,0.349259,341.371,0.349259,307.554,0.349259,281.147,0.349259,290.989,0.349259,332.283,0.349259,333.737,0.349259,330.099,0.349259,410.847,0.349259,167.926,0.349259,318.993,0.349259,373.677,0.349259,275.792,0.349259,326.766,0.349259,302.967,0.349259,349.115,0.349259,389.957
0.35926,319.065,0.35926,330.361,0.35926,191.544,0.35926,273.107,0.35926,299.858,0.35926,328.587,0.35926,183.624,0.35926,301.408,0.35926,346.507,0.35926,313.143,0.35926,285.705,0.35926,294.98,0.35926,340.094,0.35926,338.477,0.35926,335.85,0.35926,421.199,0.35926,170.344,0.35926,323.995,0.35926,383.634,0.35926,281.209,0.35926,332.44,0.35926,311.145,0.35926,354.699,0.35926,396.504
0.369259,324.448,0.369259,335.931,0.369259,196.093,0.369259,278.739,0.369259,305.699,0.369259,333.065,0.369259,186.351,0.369259,306.219,0.369259,351.566,0.369259,319.084,0.369259,290.23,0.369259,299.104,0.369259,348.233,0.369259,343.126,0.369259,341.519,0.369259,432.643,0.369259,173.195,0.369259,329.832,0.369259,393.38,0.369259,286.993,0.369259,339.006,0.369259,319.804,0.369259,360.845,0.369259,403.742
0.379259,330.285,0.379259,341.286,0.379259,200.37,0.379259,284.461,0.379259,309.323,0.379259,337.552,0.379259,189.398,0.379259,311.269,0.379259,356.692,0.379259,324.925,0.379259,294.827,0.379259,303.358,0.379259,357.078,0.379259,348.09,0.379259,347.48,0.379259,443.734,0.379259,176.051,0.379259,334.934,0.379259,403.718,0.379259,292.391,0.379259,345.506,0.379259,328.153,0.379259,366.52,0.379259,411.042
0.389181,335.959,0.389181,347.322,0.389181,205.062,0.389181,290.674,0.389181,313.538,0.389181,342.335,0.389181,191.911,0.389181,316.137,0.389181,361.999,0.389181,331.696,0.389181,300.025,0.389181,307.153,0.389181,365.352,0.389181,353.168,0.389181,353.826,0.389181,455.007,0.389181,178.564,0.389181,342.373,0.389181,414.452,0.389181,298.752,0.389181,351.604,0.389181,337.356,0.389181,373.115,0.389181,418.5
0.399181,342.826,0.399181,353.578,0.399181,210.04,0.399181,297.574,0.399181,320.095,0.399181,347.542,0.399181,194.495,0.399181,321.821,0.399181,368.036,0.399181,338.363,0.399181,304.898,0.399181,311.755,0.399181,375.108,0.399181,358.6,0.399181,360.707,0.399181,468.773,0.399181,181.826,0.399181,348.705,0.399181,425.648,0.399181,305.06,0.399181,358.275,0.399181,346.521,0.399181,379.862,0.399181,426.811
0.409182,349.63,0.409182,360.254,0.409182,214.58,0.409182,304.908,0.409182,324.544,0.409182,352.796,0.409182,197.624,0.409182,327.486,0.409182,374.331,0.409182,346.497,0.409182,310.639,0.409182,316.213,0.409182,384.416,0.409182,364.408,0.409182,367.736,0.409182,478.3,0.409182,185.178,0.409182,355.886,0.409182,437.073,0.409182,311.845,0.409182,365.237,0.409182,356.43,0.409182,386.938,0.409182,435.118
0.419181,356.544,0.419181,367.354,0.419181,219.868,0.419181,312.508,0.419181,332.187,0.419181,358.28,0.419181,199.793,0.419181,333.651,0.419181,380.577,0.419181,355.171,0.419181,316.628,0.419181,321.015,0.419181,395.249,0.419181,370.702,0.419181,374.941,0.419181,492.939,0.419181,188.54,0.419181,361.432,0.419181,448.35,0.419181,319.036,0.419181,372.747,0.419181,366.878,0.419181,394.563,0.419181,444.068
0.429181,364.093,0.429181,373.882,0.429181,224.946,0.429181,320.591,0.429181,339.14,0.429181,363.645,0.429181,202.316,0.429181,340.232,0.429181,387.253,0.429181,363.449,0.429181,322.293,0.429181,325.76,0.429181,405.406,0.429181,376.452,0.429181,382.36,0.429181,502.295,0.429181,191.997,0.429181,369.572,0.429181,460.08,0.429181,325.798,0.429181,380.239,0.429181,376.762,0.429181,401.663,0.429181,453.219
0.439181,371.36,0.439181,381.307,0.439181,230.449,0.439181,329.074,0.439181,346.788,0.439181,373.076,0.439181,205.081,0.439181,346.793,0.439181,394.162,0.439181,372.361,0.439181,328.602,0.439181,330.323,0.439181,414.328,0.439181,382.875,0.439181,389.799,0.439181,496.509,0.439181,195.487,0.439181,377.392,0.439181,472.159,0.439181,333.728,0.439181,387.625,0.439181,387.806,0.439181,409.555,0.439181,462.379
0.449182,379.571,0.449182,388.97,0.449182,236.338,0.449182,338.83,0.449182,354.084,0.449182,377.988,0.449182,207.914,0.449182,354.518,0.449182,401.925,0.449182,382.241,0.449182,334.991,0.449182,335.683,0.449182,425.3,0.449182,389.642,0.449182,398.201,0.449182,520.541,0.449182,199.655,0.449182,385.798,0.449182,484.714,0.449182,341.91,0.449182,395.598,0.449182,399.078,0.449182,417.661,0.449182,472.245
0.459182,388.059,0.459182,397.071,0.459182,241.846,0.459182,348.863,0.459182,362.128,0.459182,384.144,0.459182,211.204,0.459182,362.357,0.459182,410.174,0.459182,392.408,0.459182,342.163,0.459182,341.133,0.459182,435.933,0.459182,396.48,0.459182,406.512,0.459182,537.278,0.459182,203.584,0.459182,394.291,0.459182,497.422,0.459182,350.498,0.459182,404.691,0.459182,411.018,0.459182,426.01,0.459182,482.139
0.469181,396.389,0.469181,405.363,0.469181,248.044,0.469181,358.49,0.469181,370.268,0.469181,391.039,0.469181,213.688,0.469181,370.683,0.469181,418.405,0.469181,403.089,0.469181,349.573,0.469181,346.731,0.469181,448.131,0.469181,403.971,0.469181,414.957,0.469181,548.913,0.469181,207.709,0.469181,402.03,0.469181,509.767,0.469181,359.615,0.469181,413.927,0.469181,423.564,0.469181,434.627,0.469181,492.286
0.479181,405.292,0.479181,413.36,0.479181,254.072,0.479181,370.311,0.479181,376.896,0.479181,397.472,0.479181,216.95,0.479181,379.242,0.479181,427.083,0.479181,413.069,0.479181,357.269,0.479181,352.534,0.479181,458.388,0.479181,410.508,0.479181,423.531,0.479181,560.166,0.479181,212.253,0.479181,411.257,0.479181,522.782,0.479181,368.527,0.479181,423.207,0.479181,436.215,0.479181,442.762,0.479181,502.305
0.489182,414.075,0.489182,422.153,0.489182,260.609,0.489182,381.769,0.489182,383.39,0.489182,406.055,0.489182,220.273,0.489182,387.916,0.489182,436.262,0.489182,425.209,0.489182,365.671,0.489182,358.371,0.489182,469.522,0.489182,418.185,0.489182,432.243,0.489182,577.095,0.489182,216.292,0.489182,420.87,0.489182,535.8,0.489182,378.46,0.489182,432.324,0.489182,449.805,0.489182,451.555,0.489182,512.101
0.499182,423.44,0.499182,431.074,0.499182,267.519,0.499182,394.029,0.499182,393.781,0.499182,412.382,0.499182,223.497,0.499182,397.486,0.499182,446.085,0.499182,436.305,0.499182,373.672,0.499182,364.932,0.499182,481.619,0.499182,425.691,0.499182,441.317,0.499182,588.539,0.499182,220.817,0.499182,429.053,0.499182,549.104,0.499182,388.669,0.499182,441.875,0.499182,464.062,0.499182,460.343,0.499182,522.258
